# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	3.589280e-02	1	1.000000e+00	3.686910e-02	1	1.000000e+00	3.045300e-02	1	false	GAMG	1.000000e+00	9.872380e-02	34	true
2             	smoothSolver	3.002860e-01	2.313930e-02	4	2.569790e-01	2.331700e-02	3	4.477880e-01	2.845250e-02	3	false	GAMG	1.815160e-01	1.357550e-02	3	true
3             	smoothSolver	1.793600e-01	1.251560e-02	4	3.001940e-01	2.070310e-02	5	3.862070e-01	3.202470e-02	3	false	GAMG	1.522590e-01	1.499350e-02	3	true
4             	smoothSolver	8.223020e-02	5.735270e-03	3	1.127390e-01	9.506220e-03	4	3.064820e-01	2.425820e-02	3	false	GAMG	1.584590e-01	1.184730e-02	4	true
5             	smoothSolver	5.867630e-02	4.123710e-03	3	5.861350e-02	5.558010e-03	3	2.956240e-01	2.066970e-02	3	false	GAMG	7.316760e-02	7.177230e-03	3	true
6             	smoothSolver	4.728080e-02	3.688980e-03	3	4.481330e-02	4.192870e-03	3	2.757160e-01	1.999110e-02	3	false	GAMG	5.559300e-02	3.105020e-03	3	true
7             	smoothSolver	3.967400e-02	3.402760e-03	3	3.832450e-02	2.437860e-03	4	2.385910e-01	1.761540e-02	3	false	GAMG	4.462500e-02	3.308470e-03	3	true
8             	smoothSolver	3.387680e-02	3.042430e-03	3	3.106120e-02	2.175010e-03	4	1.945480e-01	1.506330e-02	3	false	GAMG	3.655090e-02	2.895760e-03	3	true
9             	smoothSolver	2.923660e-02	2.585490e-03	3	2.605890e-02	1.809380e-03	4	1.686660e-01	1.340810e-02	3	false	GAMG	3.075750e-02	2.212470e-03	3	true
10            	smoothSolver	2.607630e-02	2.344810e-03	3	2.407630e-02	1.545100e-03	4	1.595070e-01	1.304660e-02	3	false	GAMG	2.729390e-02	1.697470e-03	3	true
