# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 3.000000e+01
# lRef        : 1.000000e+02
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	-6.720843e-05	-8.199767e-20	-4.805369e-04	2.402684e-09	2.453293e-06	-3.360422e-10	-3.360181e-05	-3.360662e-05	-3.360422e-10	3.360422e-10	-2.378151e-04	-2.427217e-04
2             	-2.396089e-04	-2.102006e-19	-9.623716e-04	4.811858e-09	5.404723e-06	-1.198045e-09	-1.197997e-04	-1.198093e-04	-1.198045e-09	1.198045e-09	-4.757811e-04	-4.865905e-04
3             	6.409637e-05	1.809090e-21	-4.853101e-04	2.426551e-09	1.878696e-06	3.204818e-10	3.205061e-05	3.204576e-05	3.204818e-10	-3.204818e-10	-2.407764e-04	-2.445337e-04
4             	1.889321e-04	1.308287e-19	8.448364e-05	-4.224182e-10	-1.462677e-06	9.446605e-10	9.446563e-05	9.446648e-05	9.446605e-10	-9.446605e-10	4.077914e-05	4.370450e-05
5             	1.638045e-04	1.257425e-19	1.285530e-04	-6.427649e-10	-1.361741e-06	8.190226e-10	8.190162e-05	8.190290e-05	8.190226e-10	-8.190226e-10	6.291475e-05	6.563824e-05
6             	1.528712e-04	1.223843e-19	1.950556e-04	-9.752780e-10	-1.435922e-06	7.643562e-10	7.643465e-05	7.643660e-05	7.643562e-10	-7.643562e-10	9.609188e-05	9.896372e-05
7             	1.268941e-04	1.131251e-19	2.327582e-04	-1.163791e-09	-1.398628e-06	6.344704e-10	6.344588e-05	6.344821e-05	6.344704e-10	-6.344704e-10	1.149805e-04	1.177777e-04
8             	9.961250e-05	9.706734e-20	2.402439e-04	-1.201219e-09	-1.258466e-06	4.980625e-10	4.980505e-05	4.980745e-05	4.980625e-10	-4.980625e-10	1.188635e-04	1.213804e-04
9             	8.357227e-05	8.458609e-20	2.463478e-04	-1.231739e-09	-1.173318e-06	4.178613e-10	4.178490e-05	4.178737e-05	4.178613e-10	-4.178613e-10	1.220006e-04	1.243472e-04
10            	7.352011e-05	7.241460e-20	2.418855e-04	-1.209428e-09	-1.076201e-06	3.676005e-10	3.675884e-05	3.676126e-05	3.676005e-10	-3.676005e-10	1.198666e-04	1.220190e-04
11            	7.025331e-05	6.382254e-20	2.413920e-04	-1.206960e-09	-1.044448e-06	3.512666e-10	3.512545e-05	3.512786e-05	3.512666e-10	-3.512666e-10	1.196516e-04	1.217405e-04
12            	7.193778e-05	5.860015e-20	2.419322e-04	-1.209661e-09	-1.036165e-06	3.596889e-10	3.596768e-05	3.597010e-05	3.596889e-10	-3.596889e-10	1.199299e-04	1.220022e-04
13            	7.922849e-05	6.114130e-20	2.469285e-04	-1.234642e-09	-1.064259e-06	3.961424e-10	3.961301e-05	3.961548e-05	3.961424e-10	-3.961424e-10	1.224000e-04	1.245285e-04
14            	8.461151e-05	5.754648e-20	2.535173e-04	-1.267587e-09	-1.100817e-06	4.230575e-10	4.230449e-05	4.230702e-05	4.230575e-10	-4.230575e-10	1.256579e-04	1.278595e-04
15            	9.100523e-05	5.924315e-20	2.622811e-04	-1.311406e-09	-1.148892e-06	4.550262e-10	4.550130e-05	4.550393e-05	4.550262e-10	-4.550262e-10	1.299917e-04	1.322894e-04
16            	9.539716e-05	5.627880e-20	2.699454e-04	-1.349727e-09	-1.186884e-06	4.769858e-10	4.769723e-05	4.769993e-05	4.769858e-10	-4.769858e-10	1.337858e-04	1.361596e-04
17            	9.857337e-05	5.662474e-20	2.775178e-04	-1.387589e-09	-1.222060e-06	4.928669e-10	4.928530e-05	4.928807e-05	4.928669e-10	-4.928669e-10	1.375368e-04	1.399810e-04
18            	1.009365e-04	5.645459e-20	2.874069e-04	-1.437035e-09	-1.269631e-06	5.046826e-10	5.046682e-05	5.046969e-05	5.046826e-10	-5.046826e-10	1.424338e-04	1.449731e-04
19            	1.019410e-04	5.629617e-20	2.955568e-04	-1.477784e-09	-1.307106e-06	5.097051e-10	5.096903e-05	5.097198e-05	5.097051e-10	-5.097051e-10	1.464713e-04	1.490855e-04
20            	1.022043e-04	5.611893e-20	2.994238e-04	-1.497119e-09	-1.322370e-06	5.110214e-10	5.110065e-05	5.110364e-05	5.110214e-10	-5.110214e-10	1.483896e-04	1.510343e-04
21            	1.018520e-04	5.519822e-20	3.000344e-04	-1.500172e-09	-1.321851e-06	5.092601e-10	5.092451e-05	5.092751e-05	5.092601e-10	-5.092601e-10	1.486954e-04	1.513391e-04
22            	1.017410e-04	5.373562e-20	2.989502e-04	-1.494751e-09	-1.315684e-06	5.087052e-10	5.086903e-05	5.087202e-05	5.087052e-10	-5.087052e-10	1.481594e-04	1.507908e-04
23            	1.020793e-04	5.194731e-20	2.964980e-04	-1.482490e-09	-1.303786e-06	5.103967e-10	5.103819e-05	5.104115e-05	5.103967e-10	-5.103967e-10	1.469452e-04	1.495528e-04
24            	1.026622e-04	4.970775e-20	2.934526e-04	-1.467263e-09	-1.289162e-06	5.133110e-10	5.132963e-05	5.133257e-05	5.133110e-10	-5.133110e-10	1.454371e-04	1.480155e-04
25            	1.031884e-04	4.743695e-20	2.903059e-04	-1.451530e-09	-1.274008e-06	5.159421e-10	5.159276e-05	5.159566e-05	5.159421e-10	-5.159421e-10	1.438789e-04	1.464270e-04
26            	1.033505e-04	4.551457e-20	2.863797e-04	-1.431899e-09	-1.253664e-06	5.167525e-10	5.167382e-05	5.167668e-05	5.167525e-10	-5.167525e-10	1.419362e-04	1.444435e-04
27            	1.033278e-04	4.360711e-20	2.821177e-04	-1.410589e-09	-1.231092e-06	5.166391e-10	5.166250e-05	5.166532e-05	5.166391e-10	-5.166391e-10	1.398278e-04	1.422900e-04
28            	1.034118e-04	4.201565e-20	2.783933e-04	-1.391967e-09	-1.211695e-06	5.170592e-10	5.170452e-05	5.170731e-05	5.170592e-10	-5.170592e-10	1.379850e-04	1.404084e-04
29            	1.034406e-04	4.062533e-20	2.751704e-04	-1.375852e-09	-1.194834e-06	5.172031e-10	5.171893e-05	5.172168e-05	5.172031e-10	-5.172031e-10	1.363904e-04	1.387801e-04
30            	1.034163e-04	3.947281e-20	2.723704e-04	-1.361852e-09	-1.179987e-06	5.170814e-10	5.170678e-05	5.170950e-05	5.170814e-10	-5.170814e-10	1.350052e-04	1.373652e-04
31            	1.033357e-04	3.828086e-20	2.698308e-04	-1.349154e-09	-1.166542e-06	5.166785e-10	5.166650e-05	5.166920e-05	5.166785e-10	-5.166785e-10	1.337489e-04	1.360820e-04
32            	1.032132e-04	3.717489e-20	2.674179e-04	-1.337089e-09	-1.153893e-06	5.160659e-10	5.160526e-05	5.160793e-05	5.160659e-10	-5.160659e-10	1.325550e-04	1.348628e-04
33            	1.031085e-04	3.612438e-20	2.650541e-04	-1.325270e-09	-1.141884e-06	5.155424e-10	5.155291e-05	5.155556e-05	5.155424e-10	-5.155424e-10	1.313852e-04	1.336689e-04
34            	1.031091e-04	3.530384e-20	2.629532e-04	-1.314766e-09	-1.131676e-06	5.155456e-10	5.155324e-05	5.155587e-05	5.155456e-10	-5.155456e-10	1.303449e-04	1.326083e-04
35            	1.030450e-04	3.460329e-20	2.608086e-04	-1.304043e-09	-1.121069e-06	5.152249e-10	5.152118e-05	5.152379e-05	5.152249e-10	-5.152249e-10	1.292832e-04	1.315254e-04
