# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 3.000000e+01
# lRef        : 1.000000e+02
# Aref        : 1.000000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	4.640925e-02	-9.796582e-20	-2.573762e-02	1.286881e-07	-1.868867e-05	2.320463e-07	2.320475e-02	2.320450e-02	2.320463e-07	-2.320463e-07	-1.288750e-02	-1.285012e-02
2             	3.627000e-02	-4.106073e-18	6.321282e-02	-3.160641e-07	-4.090849e-04	1.813500e-07	1.813468e-02	1.813531e-02	1.813500e-07	-1.813500e-07	3.119733e-02	3.201550e-02
3             	2.153393e-02	-2.345696e-18	6.977953e-02	-3.488977e-07	-3.498301e-04	1.076696e-07	1.076662e-02	1.076731e-02	1.076696e-07	-1.076696e-07	3.453994e-02	3.523960e-02
4             	1.389448e-02	-2.788055e-19	6.891975e-02	-3.445987e-07	-3.028925e-04	6.947240e-08	6.946896e-03	6.947585e-03	6.947240e-08	-6.947240e-08	3.415698e-02	3.476277e-02
5             	1.107232e-02	7.737916e-19	6.601183e-02	-3.300592e-07	-2.746582e-04	5.536158e-08	5.535828e-03	5.536488e-03	5.536158e-08	-5.536158e-08	3.273126e-02	3.328057e-02
6             	1.035017e-02	1.306185e-18	6.418564e-02	-3.209282e-07	-2.645999e-04	5.175084e-08	5.174764e-03	5.175405e-03	5.175084e-08	-5.175084e-08	3.182822e-02	3.235742e-02
7             	1.046519e-02	1.572172e-18	6.363118e-02	-3.181559e-07	-2.658269e-04	5.232594e-08	5.232276e-03	5.232912e-03	5.232594e-08	-5.232594e-08	3.154977e-02	3.208142e-02
8             	1.064821e-02	1.679206e-18	6.343827e-02	-3.171914e-07	-2.690730e-04	5.324105e-08	5.323788e-03	5.324422e-03	5.324105e-08	-5.324105e-08	3.145006e-02	3.198821e-02
9             	1.075245e-02	1.705524e-18	6.320207e-02	-3.160103e-07	-2.709465e-04	5.376225e-08	5.375909e-03	5.376541e-03	5.376225e-08	-5.376225e-08	3.133009e-02	3.187198e-02
10            	1.088763e-02	1.705360e-18	6.274720e-02	-3.137360e-07	-2.710696e-04	5.443816e-08	5.443502e-03	5.444130e-03	5.443816e-08	-5.443816e-08	3.110253e-02	3.164467e-02
