# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	9.699960e-02	10	1.000000e+00	8.375720e-02	5	false	GAMG	1.000000e+00	8.361710e-02	14	true
2             	smoothSolver	2.883230e-01	2.659540e-02	6	3.613010e-01	3.409710e-02	6	false	GAMG	2.804320e-01	1.827180e-02	10	true
3             	smoothSolver	1.509740e-01	1.280870e-02	6	2.170290e-01	1.812240e-02	6	false	GAMG	4.411870e-02	3.697900e-03	10	true
4             	smoothSolver	9.151910e-02	7.026700e-03	6	1.228070e-01	9.914670e-03	5	false	GAMG	3.600250e-02	3.373120e-03	9	true
5             	smoothSolver	6.991500e-02	6.942040e-03	5	9.026170e-02	6.632670e-03	5	false	GAMG	3.143340e-02	2.716810e-03	8	true
6             	smoothSolver	5.891160e-02	4.651570e-03	6	7.667340e-02	6.886460e-03	4	false	GAMG	2.483180e-02	2.417660e-03	8	true
7             	smoothSolver	5.082510e-02	4.565060e-03	6	6.714690e-02	6.195150e-03	4	false	GAMG	1.844100e-02	1.794150e-03	8	true
8             	smoothSolver	4.425260e-02	3.420640e-03	7	5.770660e-02	4.110260e-03	5	false	GAMG	1.495650e-02	1.147490e-03	7	true
9             	smoothSolver	3.849130e-02	3.326400e-03	7	4.861790e-02	3.968440e-03	5	false	GAMG	1.227870e-02	1.104770e-03	5	true
10            	smoothSolver	3.443100e-02	3.254040e-03	7	4.175480e-02	3.669880e-03	5	false	GAMG	1.037520e-02	9.110090e-04	5	true
11            	smoothSolver	3.151220e-02	2.532880e-03	8	3.649170e-02	3.517470e-03	5	false	GAMG	9.210440e-03	9.041890e-04	5	true
12            	smoothSolver	2.889600e-02	2.487040e-03	8	3.337950e-02	2.751870e-03	6	false	GAMG	8.571520e-03	8.206280e-04	6	true
13            	smoothSolver	2.713440e-02	2.414200e-03	8	3.013070e-02	2.810040e-03	6	false	GAMG	8.438130e-03	7.019250e-04	7	true
14            	smoothSolver	2.604440e-02	2.312360e-03	8	2.818060e-02	2.255260e-03	7	false	GAMG	8.307000e-03	6.673730e-04	7	true
15            	smoothSolver	2.477490e-02	2.206050e-03	8	2.600110e-02	2.279730e-03	7	false	GAMG	8.137720e-03	6.428790e-04	7	true
16            	smoothSolver	2.323710e-02	2.098560e-03	8	2.479670e-02	2.353480e-03	7	false	GAMG	7.832650e-03	6.269820e-04	7	true
17            	smoothSolver	2.161500e-02	1.994180e-03	8	2.424660e-02	2.423940e-03	7	false	GAMG	7.426990e-03	6.250370e-04	7	true
18            	smoothSolver	2.013310e-02	1.897430e-03	8	2.359370e-02	1.953940e-03	8	false	GAMG	6.986090e-03	6.412010e-04	7	true
19            	smoothSolver	1.883400e-02	1.815320e-03	8	2.241320e-02	1.915900e-03	8	false	GAMG	6.565720e-03	5.806740e-04	6	true
20            	smoothSolver	1.762050e-02	1.748500e-03	8	2.115060e-02	1.896290e-03	8	false	GAMG	6.250010e-03	5.687360e-04	6	true
21            	smoothSolver	1.668830e-02	1.347310e-03	9	2.017690e-02	1.869740e-03	8	false	GAMG	5.882280e-03	3.567510e-04	8	true
22            	smoothSolver	1.583460e-02	1.295430e-03	9	1.949660e-02	1.845140e-03	8	false	GAMG	5.440690e-03	3.591530e-04	8	true
23            	smoothSolver	1.487620e-02	1.243870e-03	9	1.837320e-02	1.777620e-03	8	false	GAMG	5.030440e-03	3.754990e-04	8	true
24            	smoothSolver	1.398890e-02	1.195080e-03	9	1.742550e-02	1.727310e-03	8	false	GAMG	4.708100e-03	3.795320e-04	8	true
25            	smoothSolver	1.313700e-02	1.146480e-03	9	1.652050e-02	1.358400e-03	9	false	GAMG	4.384030e-03	3.803230e-04	8	true
26            	smoothSolver	1.235070e-02	1.100920e-03	9	1.563830e-02	1.284700e-03	9	false	GAMG	4.060730e-03	3.554550e-04	8	true
27            	smoothSolver	1.159950e-02	1.052570e-03	9	1.494380e-02	1.227610e-03	9	false	GAMG	3.792020e-03	3.278460e-04	8	true
28            	smoothSolver	1.089180e-02	1.004480e-03	9	1.430630e-02	1.185460e-03	9	false	GAMG	3.587920e-03	2.989350e-04	8	true
29            	smoothSolver	1.026930e-02	9.582660e-04	9	1.372940e-02	1.147590e-03	9	false	GAMG	3.452190e-03	2.741780e-04	8	true
30            	smoothSolver	9.737860e-03	9.159260e-04	9	1.333220e-02	1.107320e-03	9	false	GAMG	3.334790e-03	2.559610e-04	8	true
31            	smoothSolver	9.302150e-03	8.781530e-04	9	1.304320e-02	1.065210e-03	9	false	GAMG	3.242510e-03	2.437420e-04	8	true
