# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 3.000000e+01
# lRef        : 1.000000e+02
# Aref        : 1.000000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	1.333656e-02	0.000000e+00	6.105418e-07	-3.052709e-12	6.551789e-06	6.668278e-08	6.668278e-03	6.668278e-03	6.668278e-08	-6.668278e-08	6.857060e-06	-6.246518e-06
2             	1.672666e-02	0.000000e+00	8.183354e-07	-4.091677e-12	8.161708e-06	8.363328e-08	8.363328e-03	8.363328e-03	8.363328e-08	-8.363328e-08	8.570876e-06	-7.752541e-06
3             	1.531232e-02	0.000000e+00	2.168732e-06	-1.084366e-11	7.280546e-06	7.656162e-08	7.656162e-03	7.656162e-03	7.656162e-08	-7.656162e-08	8.364912e-06	-6.196180e-06
4             	8.442279e-03	0.000000e+00	5.207595e-06	-2.603798e-11	3.721633e-06	4.221140e-08	4.221140e-03	4.221140e-03	4.221140e-08	-4.221140e-08	6.325431e-06	-1.117836e-06
5             	5.947111e-03	0.000000e+00	7.182913e-06	-3.591457e-11	2.338408e-06	2.973555e-08	2.973555e-03	2.973555e-03	2.973555e-08	-2.973555e-08	5.929865e-06	1.253048e-06
6             	5.122142e-03	0.000000e+00	6.669848e-06	-3.334924e-11	1.890716e-06	2.561071e-08	2.561071e-03	2.561071e-03	2.561071e-08	-2.561071e-08	5.225640e-06	1.444208e-06
7             	5.024789e-03	0.000000e+00	6.451386e-06	-3.225693e-11	1.909704e-06	2.512395e-08	2.512395e-03	2.512395e-03	2.512395e-08	-2.512395e-08	5.135397e-06	1.315989e-06
8             	6.008573e-03	0.000000e+00	6.536535e-06	-3.268267e-11	2.444405e-06	3.004287e-08	3.004287e-03	3.004287e-03	3.004287e-08	-3.004287e-08	5.712673e-06	8.238621e-07
9             	6.421468e-03	0.000000e+00	6.648966e-06	-3.324483e-11	2.670580e-06	3.210734e-08	3.210734e-03	3.210734e-03	3.210734e-08	-3.210734e-08	5.995063e-06	6.539027e-07
10            	6.919831e-03	0.000000e+00	6.865727e-06	-3.432863e-11	2.917511e-06	3.459916e-08	3.459916e-03	3.459916e-03	3.459916e-08	-3.459916e-08	6.350374e-06	5.153526e-07
11            	7.290877e-03	0.000000e+00	7.122183e-06	-3.561091e-11	3.094019e-06	3.645439e-08	3.645438e-03	3.645439e-03	3.645439e-08	-3.645439e-08	6.655111e-06	4.670723e-07
