# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	2.482480e-02	1	1.000000e+00	5.276940e-02	1	false	GAMG	1.000000e+00	9.313480e-02	36	true
2             	smoothSolver	9.642900e-03	8.045720e-04	10	2.300640e-02	1.952700e-03	10	false	GAMG	4.137020e-01	3.475900e-02	10	true
3             	smoothSolver	2.017300e-02	1.577280e-03	3	8.826410e-02	6.550240e-03	4	false	GAMG	6.539870e-02	5.443320e-03	9	true
4             	smoothSolver	1.444240e-02	1.148080e-03	7	9.402310e-02	7.426990e-03	6	false	GAMG	1.065400e-01	8.551000e-03	12	true
5             	smoothSolver	2.064750e-02	1.521860e-03	4	7.784830e-02	7.151780e-03	6	false	GAMG	9.545290e-02	6.575520e-03	7	true
6             	smoothSolver	1.227430e-02	1.179720e-03	6	5.806160e-02	5.476840e-03	7	false	GAMG	7.829470e-02	7.038680e-03	7	true
7             	smoothSolver	1.537160e-02	1.228920e-03	5	4.519030e-02	4.499510e-03	4	false	GAMG	8.429370e-02	7.910940e-03	5	true
8             	smoothSolver	1.046100e-02	8.857680e-04	6	3.375380e-02	2.745700e-03	6	false	GAMG	7.254430e-02	5.521630e-03	6	true
9             	smoothSolver	9.417470e-03	7.992420e-04	6	2.719780e-02	2.477660e-03	6	false	GAMG	6.356260e-02	5.350680e-03	5	true
10            	smoothSolver	8.615070e-03	7.416590e-04	6	2.330550e-02	2.196120e-03	6	false	GAMG	4.945290e-02	4.470300e-03	5	true
11            	smoothSolver	7.799890e-03	6.943920e-04	6	2.103060e-02	1.811520e-03	6	false	GAMG	4.144060e-02	3.601260e-03	5	true
12            	smoothSolver	1.227560e-02	1.054560e-03	4	2.549740e-02	2.084270e-03	5	false	GAMG	3.905980e-02	3.524570e-03	5	true
13            	smoothSolver	6.776990e-03	6.479410e-04	6	1.777860e-02	1.737170e-03	5	false	GAMG	3.637410e-02	3.604230e-03	5	true
14            	smoothSolver	6.485590e-03	6.282430e-04	6	1.651810e-02	1.311270e-03	6	false	GAMG	3.606030e-02	3.396610e-03	5	true
15            	smoothSolver	6.097490e-03	4.932980e-04	7	1.546900e-02	1.313360e-03	6	false	GAMG	3.372250e-02	3.264110e-03	5	true
16            	smoothSolver	5.911630e-03	5.899350e-04	6	1.689700e-02	1.654190e-03	5	false	GAMG	3.404950e-02	3.294290e-03	5	true
17            	smoothSolver	5.262000e-03	4.764250e-04	7	1.366780e-02	1.345190e-03	6	false	GAMG	3.314680e-02	3.218560e-03	5	true
18            	smoothSolver	4.911240e-03	4.675300e-04	7	1.297630e-02	1.064580e-03	7	false	GAMG	3.309790e-02	3.167190e-03	5	true
19            	smoothSolver	4.613890e-03	4.572950e-04	7	1.249600e-02	1.028450e-03	7	false	GAMG	3.201230e-02	3.019380e-03	5	true
20            	smoothSolver	4.390760e-03	3.596980e-04	8	1.181550e-02	9.605730e-04	7	false	GAMG	3.042750e-02	2.849440e-03	5	true
21            	smoothSolver	4.194710e-03	3.484710e-04	8	1.109730e-02	9.099870e-04	7	false	GAMG	2.859260e-02	2.599830e-03	5	true
22            	smoothSolver	4.006420e-03	3.373780e-04	8	1.043510e-02	8.654020e-04	7	false	GAMG	2.694990e-02	2.122280e-03	6	true
23            	smoothSolver	3.866510e-03	3.272200e-04	8	9.743350e-03	8.177270e-04	7	false	GAMG	2.538480e-02	2.227180e-03	6	true
24            	smoothSolver	3.653920e-03	3.173920e-04	8	9.056600e-03	7.815590e-04	7	false	GAMG	2.395450e-02	2.222500e-03	6	true
25            	smoothSolver	3.452350e-03	3.089270e-04	8	8.519370e-03	7.633760e-04	7	false	GAMG	2.229940e-02	2.170330e-03	6	true
26            	smoothSolver	3.306970e-03	3.005210e-04	8	8.021300e-03	7.383810e-04	7	false	GAMG	2.104410e-02	1.849250e-03	7	true
27            	smoothSolver	3.204700e-03	2.932900e-04	8	7.532620e-03	7.006470e-04	7	false	GAMG	1.967840e-02	1.768290e-03	7	true
28            	smoothSolver	3.039160e-03	2.879260e-04	8	7.050840e-03	6.636010e-04	7	false	GAMG	1.850810e-02	1.672710e-03	7	true
29            	smoothSolver	2.892580e-03	2.842310e-04	8	6.608640e-03	6.312480e-04	7	false	GAMG	1.728580e-02	1.552110e-03	7	true
30            	smoothSolver	2.779570e-03	2.271860e-04	9	6.242650e-03	6.025200e-04	7	false	GAMG	1.630420e-02	1.475980e-03	7	true
31            	smoothSolver	2.663850e-03	2.241470e-04	9	5.930320e-03	5.844690e-04	7	false	GAMG	1.516570e-02	1.445990e-03	7	true
32            	smoothSolver	2.556240e-03	2.216480e-04	9	5.656910e-03	4.606090e-04	8	false	GAMG	1.447340e-02	1.419870e-03	7	true
33            	smoothSolver	2.474320e-03	2.196820e-04	9	5.409460e-03	4.511340e-04	8	false	GAMG	1.357670e-02	1.179100e-03	8	true
34            	smoothSolver	2.433320e-03	2.171750e-04	9	5.255730e-03	4.464530e-04	8	false	GAMG	1.325620e-02	1.325110e-03	8	true
35            	smoothSolver	2.359540e-03	2.147770e-04	9	5.067720e-03	4.397640e-04	8	false	GAMG	1.247680e-02	1.244130e-03	8	true
36            	smoothSolver	2.290490e-03	2.124040e-04	9	4.822070e-03	4.255620e-04	8	false	GAMG	1.206450e-02	1.190520e-03	8	true
37            	smoothSolver	2.234590e-03	2.105770e-04	9	4.610700e-03	4.141840e-04	8	false	GAMG	1.127530e-02	1.046840e-03	9	true
38            	smoothSolver	2.203170e-03	2.090090e-04	9	4.422470e-03	4.024810e-04	8	false	GAMG	1.085790e-02	1.070270e-03	9	true
39            	smoothSolver	2.145110e-03	2.075120e-04	9	4.242670e-03	3.906580e-04	8	false	GAMG	1.004390e-02	9.989870e-04	9	true
40            	smoothSolver	2.087080e-03	2.057050e-04	9	4.033420e-03	3.800900e-04	8	false	GAMG	9.573690e-03	9.260810e-04	10	true
41            	smoothSolver	2.053690e-03	2.042320e-04	9	3.872170e-03	3.765750e-04	8	false	GAMG	8.897570e-03	8.230200e-04	11	true
42            	smoothSolver	2.004370e-03	1.646800e-04	10	3.710270e-03	3.029230e-04	9	false	GAMG	8.471370e-03	8.286580e-04	11	true
43            	smoothSolver	1.951540e-03	1.634660e-04	10	3.571040e-03	3.024040e-04	9	false	GAMG	7.834230e-03	7.661270e-04	12	true
44            	smoothSolver	1.901540e-03	1.619450e-04	10	3.476550e-03	3.026730e-04	9	false	GAMG	7.472660e-03	7.395250e-04	13	true
45            	smoothSolver	1.860850e-03	1.605340e-04	10	3.375340e-03	3.018850e-04	9	false	GAMG	7.014190e-03	6.942790e-04	14	true
46            	smoothSolver	1.811610e-03	1.589510e-04	10	3.308440e-03	3.007800e-04	9	false	GAMG	6.744140e-03	6.695850e-04	15	true
47            	smoothSolver	1.770990e-03	1.572760e-04	10	3.235710e-03	3.017680e-04	9	false	GAMG	6.405360e-03	6.167320e-04	16	true
48            	smoothSolver	1.730330e-03	1.555020e-04	10	3.212590e-03	3.082560e-04	9	false	GAMG	6.245520e-03	6.234640e-04	16	true
