# y+ ()       
# Time        	patch         	min           	max           	average       
10            	obstical	1.897393e+02	1.449325e+03	5.803556e+02
10            	obsticalTop	1.841312e+01	6.468512e+01	5.125040e+01
20            	obstical	1.595185e+02	1.756626e+03	6.646904e+02
20            	obsticalTop	2.199833e+01	5.646047e+01	4.463349e+01
30            	obstical	1.481010e+02	1.811530e+03	6.474565e+02
30            	obsticalTop	1.945857e+01	5.474891e+01	4.321696e+01
40            	obstical	3.242181e+01	1.818647e+03	6.154527e+02
40            	obsticalTop	1.170334e+01	5.632289e+01	4.342667e+01
50            	obstical	1.132818e+02	1.804930e+03	6.203461e+02
50            	obsticalTop	2.912387e+00	5.692062e+01	4.302037e+01
60            	obstical	9.455392e+01	1.798858e+03	5.760752e+02
60            	obsticalTop	1.106409e+01	5.711470e+01	4.356580e+01
70            	obstical	1.704598e+01	1.802080e+03	5.642095e+02
70            	obsticalTop	1.111891e+01	5.713913e+01	4.344227e+01
80            	obstical	5.775003e+01	1.805201e+03	5.803866e+02
80            	obsticalTop	1.008374e+01	5.728210e+01	4.328354e+01
90            	obstical	2.934691e+01	1.805693e+03	5.786131e+02
90            	obsticalTop	1.162636e+01	5.749316e+01	4.340192e+01
100           	obstical	2.358495e+01	1.804121e+03	5.948007e+02
100           	obsticalTop	1.035296e+01	5.767625e+01	4.333223e+01
110           	obstical	6.953056e+01	1.801542e+03	6.103587e+02
110           	obsticalTop	9.550820e+00	5.783165e+01	4.332020e+01
120           	obstical	7.496149e+01	1.798997e+03	6.128193e+02
120           	obsticalTop	1.008100e+01	5.795815e+01	4.342033e+01
130           	obstical	1.130687e+02	1.796870e+03	6.165569e+02
130           	obsticalTop	9.545726e+00	5.804495e+01	4.342440e+01
140           	obstical	1.241255e+02	1.795197e+03	6.161789e+02
140           	obsticalTop	9.698716e+00	5.811093e+01	4.345832e+01
150           	obstical	1.068814e+02	1.793956e+03	6.117513e+02
150           	obsticalTop	9.924445e+00	5.816557e+01	4.349897e+01
160           	obstical	9.472087e+01	1.793095e+03	6.066241e+02
160           	obsticalTop	9.831331e+00	5.820481e+01	4.349959e+01
170           	obstical	7.805399e+01	1.792469e+03	6.010609e+02
170           	obsticalTop	9.920373e+00	5.823591e+01	4.350752e+01
180           	obstical	5.691407e+01	1.792051e+03	5.950510e+02
180           	obsticalTop	1.003006e+01	5.826359e+01	4.351796e+01
190           	obstical	2.930782e+01	1.791782e+03	5.880353e+02
190           	obsticalTop	1.015874e+01	5.828307e+01	4.351880e+01
200           	obstical	2.103282e+01	1.791583e+03	5.817819e+02
200           	obsticalTop	1.025277e+01	5.829785e+01	4.351604e+01
210           	obstical	3.348888e+01	1.791464e+03	5.771230e+02
210           	obsticalTop	1.026724e+01	5.831124e+01	4.350770e+01
220           	obstical	2.706131e+01	1.791379e+03	5.715142e+02
220           	obsticalTop	1.045647e+01	5.832012e+01	4.350403e+01
230           	obstical	3.562014e+01	1.791316e+03	5.659423e+02
230           	obsticalTop	1.062365e+01	5.832702e+01	4.350068e+01
240           	obstical	3.143232e+01	1.791266e+03	5.623945e+02
240           	obsticalTop	1.056891e+01	5.833279e+01	4.348191e+01
250           	obstical	3.028309e+01	1.791238e+03	5.588467e+02
250           	obsticalTop	1.068213e+01	5.833542e+01	4.346790e+01
260           	obstical	3.325829e+01	1.791194e+03	5.542743e+02
260           	obsticalTop	1.093223e+01	5.833819e+01	4.346642e+01
270           	obstical	2.777455e+01	1.791145e+03	5.510235e+02
270           	obsticalTop	1.090047e+01	5.834073e+01	4.344847e+01
280           	obstical	3.376523e+01	1.791114e+03	5.490884e+02
280           	obsticalTop	1.086540e+01	5.833999e+01	4.342268e+01
290           	obstical	3.692394e+01	1.791088e+03	5.461992e+02
290           	obsticalTop	1.109901e+01	5.833910e+01	4.341711e+01
300           	obstical	3.747151e+01	1.791051e+03	5.430674e+02
300           	obsticalTop	1.116366e+01	5.833909e+01	4.340653e+01
310           	obstical	3.740278e+01	1.791010e+03	5.414765e+02
310           	obsticalTop	1.104482e+01	5.833736e+01	4.337868e+01
320           	obstical	4.090458e+01	1.790992e+03	5.403218e+02
320           	obsticalTop	1.115188e+01	5.833554e+01	4.336476e+01
330           	obstical	4.098454e+01	1.790955e+03	5.381828e+02
330           	obsticalTop	1.130946e+01	5.833469e+01	4.336070e+01
340           	obstical	3.998729e+01	1.790910e+03	5.363259e+02
340           	obsticalTop	1.124207e+01	5.833289e+01	4.334078e+01
350           	obstical	4.224905e+01	1.790884e+03	5.358210e+02
350           	obsticalTop	1.119867e+01	5.832994e+01	4.331884e+01
360           	obstical	3.566108e+01	1.790874e+03	5.353146e+02
360           	obsticalTop	1.132215e+01	5.832773e+01	4.331202e+01
370           	obstical	2.985222e+01	1.790844e+03	5.340089e+02
370           	obsticalTop	1.137409e+01	5.832600e+01	4.330233e+01
380           	obstical	2.388991e+01	1.790806e+03	5.331383e+02
380           	obsticalTop	1.129727e+01	5.832395e+01	4.328371e+01
390           	obstical	1.711241e+01	1.790787e+03	5.335088e+02
390           	obsticalTop	1.129134e+01	5.832191e+01	4.326959e+01
400           	obstical	9.642273e+00	1.790776e+03	5.339707e+02
400           	obsticalTop	1.138670e+01	5.831995e+01	4.326372e+01
410           	obstical	7.325496e+00	1.790757e+03	5.338356e+02
410           	obsticalTop	1.139683e+01	5.831849e+01	4.325437e+01
420           	obstical	1.558380e+01	1.790743e+03	5.343212e+02
420           	obsticalTop	1.131512e+01	5.831715e+01	4.323802e+01
430           	obstical	2.413838e+01	1.790736e+03	5.361172e+02
430           	obsticalTop	1.132965e+01	5.831508e+01	4.322734e+01
440           	obstical	3.262630e+01	1.790725e+03	5.374262e+02
440           	obsticalTop	1.141243e+01	5.831401e+01	4.322463e+01
450           	obstical	4.047932e+01	1.790721e+03	5.375055e+02
450           	obsticalTop	1.137409e+01	5.831390e+01	4.321614e+01
460           	obstical	4.820570e+01	1.790740e+03	5.383444e+02
