# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 8.000000e-01
# Aref        : 8.000000e-04
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	7.119820e-03	0.000000e+00	1.543793e-05	-9.648704e-09	1.473929e-05	4.449887e-06	3.559900e-03	3.559919e-03	4.449887e-06	-4.449887e-06	2.245826e-05	-7.020330e-06
2             	6.491641e-03	0.000000e+00	-3.626604e-04	2.266627e-07	9.203102e-05	4.057276e-06	3.246047e-03	3.245594e-03	4.057276e-06	-4.057276e-06	-8.929918e-05	-2.733612e-04
3             	5.414825e-03	0.000000e+00	-6.046896e-04	3.779310e-07	1.309699e-04	3.384266e-06	2.707790e-03	2.707035e-03	3.384266e-06	-3.384266e-06	-1.713749e-04	-4.333147e-04
4             	5.023294e-03	0.000000e+00	-5.767764e-04	3.604852e-07	1.150351e-04	3.139559e-06	2.512008e-03	2.511287e-03	3.139559e-06	-3.139559e-06	-1.733531e-04	-4.034233e-04
5             	4.291243e-03	0.000000e+00	-5.619509e-04	3.512193e-07	1.087635e-04	2.682027e-06	2.145973e-03	2.145270e-03	2.682027e-06	-2.682027e-06	-1.722119e-04	-3.897389e-04
6             	4.517652e-03	0.000000e+00	-2.697775e-04	1.686109e-07	3.265706e-05	2.823532e-06	2.258994e-03	2.258657e-03	2.823532e-06	-2.823532e-06	-1.022317e-04	-1.675458e-04
7             	3.918560e-03	0.000000e+00	-3.199036e-04	1.999397e-07	4.525318e-05	2.449100e-06	1.959480e-03	1.959080e-03	2.449100e-06	-2.449100e-06	-1.146986e-04	-2.052050e-04
8             	4.173091e-03	0.000000e+00	-1.822558e-04	1.139099e-07	2.343046e-06	2.608182e-06	2.086659e-03	2.086432e-03	2.608182e-06	-2.608182e-06	-8.878487e-05	-9.347096e-05
9             	3.754243e-03	0.000000e+00	-2.339576e-04	1.462235e-07	5.918795e-06	2.346402e-06	1.877268e-03	1.876976e-03	2.346402e-06	-2.346402e-06	-1.110600e-04	-1.228976e-04
10            	3.948922e-03	0.000000e+00	-1.411884e-04	8.824274e-08	-3.246411e-05	2.468076e-06	1.974549e-03	1.974373e-03	2.468076e-06	-2.468076e-06	-1.030583e-04	-3.813008e-05
