# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	7.751210e-02	5	1.000000e+00	8.539950e-02	4	false	GAMG	1.000000e+00	5.025410e-02	2	true
2             	smoothSolver	2.418780e-01	1.670130e-02	3	3.007580e-01	2.124500e-02	2	false	GAMG	1.139700e-01	6.168230e-03	4	true
3             	smoothSolver	1.532280e-01	9.032590e-03	3	4.521330e-01	2.045900e-02	2	false	GAMG	8.471140e-02	6.173680e-03	4	true
4             	smoothSolver	5.631620e-02	2.803290e-03	3	4.055510e-01	2.063560e-02	2	false	GAMG	2.065970e-02	1.489170e-03	4	true
5             	smoothSolver	3.252900e-02	2.329370e-03	3	2.982680e-01	1.571860e-02	2	false	GAMG	2.746060e-02	1.747590e-03	3	true
6             	smoothSolver	2.306720e-02	1.525070e-03	3	2.133890e-01	1.178570e-02	2	false	GAMG	2.423550e-02	2.202190e-03	3	true
7             	smoothSolver	1.648030e-02	1.260300e-03	3	1.576490e-01	8.263690e-03	2	false	GAMG	3.000930e-02	2.710520e-03	2	true
8             	smoothSolver	1.293800e-02	9.625600e-04	3	1.264550e-01	6.881850e-03	2	false	GAMG	2.878690e-02	2.722440e-03	2	true
9             	smoothSolver	1.059870e-02	8.200300e-04	3	1.053080e-01	5.579860e-03	2	false	GAMG	2.975590e-02	2.136180e-03	2	true
10            	smoothSolver	8.757850e-03	6.606520e-04	3	9.074350e-02	5.012180e-03	2	false	GAMG	2.936620e-02	2.001040e-03	2	true
11            	smoothSolver	7.469390e-03	5.582180e-04	3	7.852690e-02	4.400680e-03	2	false	GAMG	2.956400e-02	1.821840e-03	2	true
12            	smoothSolver	6.171140e-03	4.475820e-04	3	6.898090e-02	3.963680e-03	2	false	GAMG	2.750800e-02	1.639840e-03	2	true
13            	smoothSolver	5.247380e-03	3.690250e-04	3	6.010670e-02	3.435850e-03	2	false	GAMG	2.626640e-02	1.487150e-03	2	true
14            	smoothSolver	4.290280e-03	2.898140e-04	3	5.294150e-02	3.016070e-03	2	false	GAMG	2.638610e-02	1.351080e-03	2	true
15            	smoothSolver	3.673760e-03	2.343180e-04	3	4.619160e-02	2.590520e-03	2	false	GAMG	2.622490e-02	1.270290e-03	2	true
16            	smoothSolver	2.942850e-03	1.789720e-04	3	4.065220e-02	2.178080e-03	2	false	GAMG	2.469440e-02	1.167380e-03	2	true
17            	smoothSolver	2.518990e-03	1.419160e-04	3	3.606940e-02	1.835870e-03	2	false	GAMG	2.357630e-02	1.074010e-03	2	true
18            	smoothSolver	1.978900e-03	1.053480e-04	3	3.226550e-02	1.500530e-03	2	false	GAMG	2.391100e-02	1.024060e-03	2	true
