# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	8.046580e-02	10	1.000000e+00	6.917090e-02	8	false	GAMG	1.000000e+00	7.394060e-02	3	true
2             	smoothSolver	2.342370e-01	2.295180e-02	8	4.057980e-01	3.367500e-02	4	false	GAMG	7.063990e-02	6.066100e-03	6	true
3             	smoothSolver	7.283860e-02	5.170360e-03	8	3.944690e-01	2.092320e-02	4	false	GAMG	6.125610e-02	4.763650e-03	4	true
4             	smoothSolver	3.012590e-02	2.285630e-03	8	2.993340e-01	1.689950e-02	4	false	GAMG	4.751180e-02	2.666770e-03	4	true
5             	smoothSolver	2.037090e-02	1.224980e-03	8	2.175300e-01	1.225510e-02	4	false	GAMG	3.245940e-02	2.210770e-03	4	true
6             	smoothSolver	2.618950e-02	2.102940e-03	6	1.719530e-01	8.833710e-03	4	false	GAMG	3.029780e-02	1.775210e-03	5	true
7             	smoothSolver	1.261160e-02	7.207210e-04	8	1.146010e-01	5.535950e-03	4	false	GAMG	2.972460e-02	2.247100e-03	3	true
8             	smoothSolver	1.587100e-02	1.389930e-03	6	1.043660e-01	4.646250e-03	4	false	GAMG	2.711920e-02	2.141650e-03	3	true
9             	smoothSolver	8.650520e-03	5.263230e-04	8	7.989430e-02	3.660470e-03	4	false	GAMG	3.240670e-02	2.472190e-03	3	true
10            	smoothSolver	1.045920e-02	1.006120e-03	6	7.920170e-02	3.359550e-03	4	false	GAMG	2.720850e-02	2.309520e-03	3	true
11            	smoothSolver	6.601290e-03	4.106710e-04	8	6.046750e-02	2.725790e-03	4	false	GAMG	3.194360e-02	2.247630e-03	3	true
12            	smoothSolver	7.518300e-03	4.332790e-04	8	5.937070e-02	2.471130e-03	4	false	GAMG	2.577710e-02	1.872960e-03	3	true
13            	smoothSolver	5.182770e-03	3.274440e-04	8	4.833670e-02	2.086460e-03	4	false	GAMG	2.992000e-02	1.635760e-03	3	true
14            	smoothSolver	5.638590e-03	3.411620e-04	8	4.764830e-02	1.918190e-03	4	false	GAMG	2.430940e-02	1.693930e-03	3	true
15            	smoothSolver	4.138910e-03	2.671080e-04	8	3.912770e-02	1.655880e-03	4	false	GAMG	2.900380e-02	2.030340e-03	3	true
