# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 8.000000e-01
# Aref        : 8.000000e-04
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	7.186335e-03	0.000000e+00	9.743922e-05	-6.089951e-08	3.792979e-06	4.491459e-06	3.593107e-03	3.593228e-03	4.491459e-06	-4.491459e-06	5.251259e-05	4.492663e-05
2             	4.334739e-03	0.000000e+00	-1.458509e-03	9.115679e-07	3.061681e-04	2.709212e-06	2.168281e-03	2.166458e-03	2.709212e-06	-2.709212e-06	-4.230862e-04	-1.035422e-03
3             	4.474285e-03	0.000000e+00	-1.058936e-03	6.618350e-07	2.025978e-04	2.796428e-06	2.237804e-03	2.236480e-03	2.796428e-06	-2.796428e-06	-3.268702e-04	-7.320658e-04
4             	3.414961e-03	0.000000e+00	-7.921413e-04	4.950883e-07	1.140524e-04	2.134351e-06	1.707976e-03	1.706985e-03	2.134351e-06	-2.134351e-06	-2.820182e-04	-5.101231e-04
5             	3.468457e-03	0.000000e+00	-2.971412e-04	1.857132e-07	5.659638e-06	2.167786e-06	1.734414e-03	1.734043e-03	2.167786e-06	-2.167786e-06	-1.429109e-04	-1.542302e-04
6             	3.450151e-03	0.000000e+00	-3.853886e-05	2.408679e-08	-5.056334e-05	2.156344e-06	1.725100e-03	1.725052e-03	2.156344e-06	-2.156344e-06	-6.983277e-05	3.129391e-05
7             	3.537211e-03	0.000000e+00	3.067621e-05	-1.917263e-08	-5.604624e-05	2.210757e-06	1.768587e-03	1.768625e-03	2.210757e-06	-2.210757e-06	-4.070813e-05	7.138434e-05
8             	3.564869e-03	0.000000e+00	3.668719e-05	-2.292949e-08	-5.869236e-05	2.228043e-06	1.782411e-03	1.782457e-03	2.228043e-06	-2.228043e-06	-4.034877e-05	7.703596e-05
9             	3.557622e-03	0.000000e+00	-3.298869e-05	2.061793e-08	-4.994609e-05	2.223514e-06	1.778832e-03	1.778790e-03	2.223514e-06	-2.223514e-06	-6.644044e-05	3.345175e-05
10            	3.531167e-03	0.000000e+00	-7.487065e-05	4.679416e-08	-5.071679e-05	2.206979e-06	1.765630e-03	1.765537e-03	2.206979e-06	-2.206979e-06	-8.815212e-05	1.328147e-05
