# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	DILUPBiCG	1.000000e+00	7.576970e-07	7	1.000000e+00	2.568120e-07	7	false	GAMG	1.000000e+00	8.735690e-02	2	true
2             	DILUPBiCG	3.485920e-01	5.297580e-07	12	8.821690e-01	4.064390e-07	14	false	GAMG	9.784610e-01	6.656870e-02	2	true
3             	DILUPBiCG	4.750350e-02	3.555080e-07	12	6.116310e-01	1.733950e-07	14	false	GAMG	9.352840e-01	3.765140e-02	3	true
4             	DILUPBiCG	3.458610e-02	3.043110e-07	12	7.645890e-01	8.319170e-07	13	false	GAMG	9.782230e-01	5.005580e-02	3	true
5             	DILUPBiCG	8.995910e-02	6.918430e-07	13	7.514590e-01	5.375030e-07	12	false	GAMG	9.803240e-01	6.390070e-02	3	true
6             	DILUPBiCG	3.951850e-01	7.905800e-07	14	9.025050e-01	3.808930e-07	13	false	GAMG	9.271270e-01	4.563610e-02	4	true
7             	DILUPBiCG	4.873820e-01	4.014510e-07	14	7.042630e-01	5.140640e-07	12	false	GAMG	9.262860e-01	5.265280e-02	4	true
8             	DILUPBiCG	7.362560e-01	4.547120e-07	16	8.345280e-01	7.224830e-07	13	false	GAMG	8.938610e-01	8.137580e-02	3	true
9             	DILUPBiCG	6.335240e-01	4.995740e-07	10	6.938230e-01	2.144870e-07	10	false	GAMG	9.628350e-01	9.102830e-02	3	true
10            	DILUPBiCG	7.737660e-01	8.136940e-07	13	7.980220e-01	8.196160e-07	12	false	GAMG	7.670270e-01	4.884750e-02	4	true
11            	DILUPBiCG	7.014220e-01	4.697140e-07	12	7.976050e-01	6.846150e-07	11	false	GAMG	7.160280e-01	5.300700e-02	4	true
12            	DILUPBiCG	7.281950e-01	3.723160e-07	13	7.553240e-01	3.327780e-07	15	false	GAMG	6.740200e-01	5.894990e-02	4	true
13            	DILUPBiCG	6.875580e-01	5.029250e-07	13	7.970600e-01	5.578180e-07	16	false	GAMG	8.090210e-01	5.349680e-02	4	true
14            	DILUPBiCG	7.108320e-01	4.717280e-08	20	7.396210e-01	3.603270e-07	21	false	GAMG	9.336830e-01	9.229390e-02	47	true
15            	DILUPBiCG	7.426960e-01	5.050160e-07	16	8.176620e-01	7.631700e-07	17	false	GAMG	8.842570e-01	5.981720e-02	2	true
16            	DILUPBiCG	5.484110e-01	3.672420e-07	21	2.257980e-01	3.906170e-07	15	false	GAMG	9.998660e-01	1.466020e-01	1000	false
17            	DILUPBiCG	8.995780e-01	4.631020e-07	3	6.422150e-01	1.562960e-07	4	false	GAMG	9.999950e-01	7.100210e-02	3	true
