# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	8.462770e-02	10	1.000000e+00	9.009460e-02	7	false	GAMG	1.000000e+00	8.082520e-02	2	true
2             	smoothSolver	3.483120e-01	2.620050e-02	4	4.989930e-01	3.409140e-02	4	false	GAMG	2.334160e-01	1.203710e-02	4	true
3             	smoothSolver	3.812450e-02	3.416500e-03	5	4.040560e-01	3.258160e-02	4	false	GAMG	4.641550e-02	4.394780e-03	3	true
4             	smoothSolver	1.757520e-02	1.739860e-03	5	2.423090e-01	2.018740e-02	4	false	GAMG	5.342850e-02	2.767540e-03	3	true
5             	smoothSolver	1.091210e-02	9.392000e-04	7	1.651740e-01	1.528670e-02	4	false	GAMG	4.460270e-02	3.881110e-03	3	true
6             	smoothSolver	8.280690e-03	6.660410e-04	8	1.056150e-01	9.622940e-03	4	false	GAMG	4.789250e-02	4.399000e-03	3	true
7             	smoothSolver	8.081080e-03	6.432090e-04	8	7.967680e-02	6.848630e-03	4	false	GAMG	5.253610e-02	3.229450e-03	3	true
8             	smoothSolver	6.583220e-03	6.119180e-04	8	6.849710e-02	5.636140e-03	4	false	GAMG	4.999710e-02	4.284720e-03	2	true
9             	smoothSolver	5.650000e-03	4.372200e-04	9	5.919260e-02	5.421740e-03	4	false	GAMG	4.707190e-02	2.613530e-03	3	true
10            	smoothSolver	5.192070e-03	4.072210e-04	9	5.250080e-02	4.119280e-03	5	false	GAMG	3.970830e-02	2.685810e-03	3	true
11            	smoothSolver	4.864280e-03	3.798600e-04	9	4.587300e-02	3.631700e-03	5	false	GAMG	3.228030e-02	1.707560e-03	3	true
12            	smoothSolver	4.461470e-03	3.545580e-04	9	3.832690e-02	3.124900e-03	5	false	GAMG	2.826700e-02	1.561080e-03	3	true
13            	smoothSolver	4.114470e-03	3.310620e-04	9	3.167350e-02	2.687070e-03	5	false	GAMG	2.477750e-02	1.171740e-03	3	true
14            	smoothSolver	3.787620e-03	3.092940e-04	9	2.706890e-02	2.402740e-03	5	false	GAMG	2.202850e-02	1.197940e-03	3	true
15            	smoothSolver	3.529550e-03	2.892170e-04	9	2.485210e-02	2.209230e-03	5	false	GAMG	1.945890e-02	1.052100e-03	3	true
16            	smoothSolver	3.297930e-03	2.709640e-04	9	2.371200e-02	2.050770e-03	5	false	GAMG	1.725330e-02	1.234470e-03	3	true
17            	smoothSolver	3.107720e-03	2.539820e-04	9	2.319190e-02	1.897230e-03	5	false	GAMG	1.489390e-02	1.043510e-03	3	true
18            	smoothSolver	2.920570e-03	2.381460e-04	9	2.280920e-02	1.755220e-03	5	false	GAMG	1.289320e-02	1.146550e-03	3	true
19            	smoothSolver	2.755920e-03	2.233220e-04	9	2.245660e-02	2.162560e-03	4	false	GAMG	1.116960e-02	8.516200e-04	3	true
20            	smoothSolver	2.591030e-03	2.093860e-04	9	2.238380e-02	2.151100e-03	4	false	GAMG	9.669530e-03	9.413570e-04	3	true
21            	smoothSolver	2.446410e-03	1.963590e-04	9	2.217840e-02	2.090160e-03	4	false	GAMG	8.438300e-03	7.563080e-04	3	true
22            	smoothSolver	2.304110e-03	1.841670e-04	9	2.174180e-02	1.998430e-03	4	false	GAMG	7.445160e-03	5.227840e-04	4	true
23            	smoothSolver	2.178520e-03	1.728310e-04	9	2.144100e-02	1.894630e-03	4	false	GAMG	6.447730e-03	5.126760e-04	4	true
24            	smoothSolver	2.057690e-03	1.621600e-04	9	2.091420e-02	1.799250e-03	4	false	GAMG	5.742760e-03	4.959780e-04	4	true
25            	smoothSolver	1.940410e-03	1.520510e-04	9	2.042520e-02	1.706930e-03	4	false	GAMG	5.106570e-03	4.671600e-04	4	true
26            	smoothSolver	1.831150e-03	1.424850e-04	9	2.006550e-02	1.626220e-03	4	false	GAMG	4.532250e-03	4.370080e-04	4	true
27            	smoothSolver	1.727750e-03	1.334490e-04	9	1.974710e-02	1.554920e-03	4	false	GAMG	4.018230e-03	2.053510e-04	6	true
28            	smoothSolver	1.633890e-03	1.248810e-04	9	1.977600e-02	1.488600e-03	4	false	GAMG	3.474590e-03	2.851090e-04	4	true
29            	smoothSolver	1.534120e-03	1.530220e-04	8	1.908360e-02	1.432070e-03	4	false	GAMG	3.163910e-03	1.705930e-04	6	true
30            	smoothSolver	1.448380e-03	1.433670e-04	8	1.865220e-02	1.846900e-03	3	false	GAMG	2.887760e-03	2.383370e-04	4	true
31            	smoothSolver	1.360500e-03	1.341160e-04	8	1.839310e-02	1.401450e-03	4	false	GAMG	2.680710e-03	1.571080e-04	6	true
32            	smoothSolver	1.286610e-03	1.253590e-04	8	1.827760e-02	1.757520e-03	3	false	GAMG	2.353880e-03	2.202440e-04	4	true
33            	smoothSolver	1.207340e-03	1.169720e-04	8	1.805680e-02	1.799840e-03	3	false	GAMG	2.110410e-03	1.334940e-04	6	true
34            	smoothSolver	1.139520e-03	1.089740e-04	8	1.833140e-02	1.793820e-03	3	false	GAMG	1.864530e-03	1.034280e-04	6	true
35            	smoothSolver	1.068950e-03	1.013830e-04	8	1.808950e-02	1.752540e-03	3	false	GAMG	1.682420e-03	9.636770e-05	6	true
36            	smoothSolver	1.001720e-03	9.415670e-05	8	1.778770e-02	1.696010e-03	3	false	GAMG	1.528770e-03	9.476010e-05	6	true
37            	smoothSolver	9.380240e-04	8.728640e-05	8	1.754890e-02	1.635790e-03	3	false	GAMG	1.388830e-03	9.409760e-05	6	true
38            	smoothSolver	8.771920e-04	8.077310e-05	8	1.730900e-02	1.574400e-03	3	false	GAMG	1.265070e-03	9.299710e-05	6	true
39            	smoothSolver	8.190380e-04	7.460600e-05	8	1.703580e-02	1.511790e-03	3	false	GAMG	1.155050e-03	9.117730e-05	6	true
40            	smoothSolver	7.575230e-04	6.837770e-05	8	1.671420e-02	1.451390e-03	3	false	GAMG	1.048830e-03	8.804950e-05	6	true
41            	smoothSolver	7.002120e-04	6.251010e-05	8	1.635150e-02	1.389850e-03	3	false	GAMG	9.558890e-04	8.462790e-05	6	true
