# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 8.000000e-01
# Aref        : 8.000000e-04
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	6.330220e-03	0.000000e+00	-3.384298e-03	2.115186e-06	9.336162e-04	3.956387e-06	3.167225e-03	3.162995e-03	3.956387e-06	-3.956387e-06	-7.585328e-04	-2.625765e-03
2             	5.537540e-03	0.000000e+00	-3.278629e-03	2.049143e-06	9.348473e-04	3.460962e-06	2.770819e-03	2.766721e-03	3.460962e-06	-3.460962e-06	-7.044674e-04	-2.574162e-03
3             	4.651714e-03	0.000000e+00	-3.141482e-03	1.963427e-06	9.127848e-04	2.907321e-06	2.327821e-03	2.323894e-03	2.907321e-06	-2.907321e-06	-6.579565e-04	-2.483526e-03
4             	4.195517e-03	0.000000e+00	-2.555538e-03	1.597211e-06	7.612916e-04	2.622198e-06	2.099356e-03	2.096162e-03	2.622198e-06	-2.622198e-06	-5.164776e-04	-2.039061e-03
5             	3.788561e-03	0.000000e+00	-2.260107e-03	1.412567e-06	6.799857e-04	2.367851e-06	1.895693e-03	1.892868e-03	2.367851e-06	-2.367851e-06	-4.500680e-04	-1.810039e-03
6             	3.587380e-03	0.000000e+00	-2.022596e-03	1.264122e-06	6.222691e-04	2.242112e-06	1.794954e-03	1.792426e-03	2.242112e-06	-2.242112e-06	-3.890288e-04	-1.633567e-03
7             	3.438796e-03	0.000000e+00	-1.867358e-03	1.167099e-06	5.837328e-04	2.149247e-06	1.720565e-03	1.718231e-03	2.149247e-06	-2.149247e-06	-3.499462e-04	-1.517412e-03
8             	3.369120e-03	0.000000e+00	-1.741721e-03	1.088576e-06	5.474404e-04	2.105700e-06	1.685649e-03	1.683472e-03	2.105700e-06	-2.105700e-06	-3.234200e-04	-1.418301e-03
9             	3.323719e-03	0.000000e+00	-1.615991e-03	1.009995e-06	5.100455e-04	2.077324e-06	1.662870e-03	1.660850e-03	2.077324e-06	-2.077324e-06	-2.979501e-04	-1.318041e-03
10            	3.307123e-03	0.000000e+00	-1.568252e-03	9.801578e-07	4.949589e-04	2.066952e-06	1.654542e-03	1.652582e-03	2.066952e-06	-2.066952e-06	-2.891673e-04	-1.279085e-03
11            	3.303843e-03	0.000000e+00	-1.477788e-03	9.236176e-07	4.675186e-04	2.064902e-06	1.652845e-03	1.650998e-03	2.064902e-06	-2.064902e-06	-2.713755e-04	-1.206413e-03
12            	3.308942e-03	0.000000e+00	-1.467116e-03	9.169476e-07	4.638555e-04	2.068089e-06	1.655388e-03	1.653554e-03	2.068089e-06	-2.068089e-06	-2.697026e-04	-1.197414e-03
13            	3.316919e-03	0.000000e+00	-1.461099e-03	9.131868e-07	4.613828e-04	2.073075e-06	1.659373e-03	1.657546e-03	2.073075e-06	-2.073075e-06	-2.691666e-04	-1.191932e-03
14            	3.323917e-03	0.000000e+00	-1.444598e-03	9.028737e-07	4.548547e-04	2.077448e-06	1.662861e-03	1.661055e-03	2.077448e-06	-2.077448e-06	-2.674442e-04	-1.177154e-03
15            	3.329440e-03	0.000000e+00	-1.430489e-03	8.940559e-07	4.490214e-04	2.080900e-06	1.665614e-03	1.663826e-03	2.080900e-06	-2.080900e-06	-2.662233e-04	-1.164266e-03
16            	3.331009e-03	0.000000e+00	-1.412161e-03	8.826006e-07	4.412974e-04	2.081881e-06	1.666387e-03	1.664622e-03	2.081881e-06	-2.081881e-06	-2.647831e-04	-1.147378e-03
17            	3.329542e-03	0.000000e+00	-1.401493e-03	8.759330e-07	4.364600e-04	2.080964e-06	1.665647e-03	1.663895e-03	2.080964e-06	-2.080964e-06	-2.642864e-04	-1.137206e-03
18            	3.323409e-03	0.000000e+00	-1.387687e-03	8.673046e-07	4.302729e-04	2.077131e-06	1.662572e-03	1.660837e-03	2.077131e-06	-2.077131e-06	-2.635708e-04	-1.124117e-03
19            	3.314838e-03	0.000000e+00	-1.377698e-03	8.610614e-07	4.256931e-04	2.071774e-06	1.658280e-03	1.656558e-03	2.071774e-06	-2.071774e-06	-2.631560e-04	-1.114542e-03
20            	3.303278e-03	0.000000e+00	-1.362088e-03	8.513049e-07	4.190599e-04	2.064549e-06	1.652490e-03	1.650788e-03	2.064549e-06	-2.064549e-06	-2.619840e-04	-1.100104e-03
21            	3.290442e-03	0.000000e+00	-1.347772e-03	8.423573e-07	4.132815e-04	2.056526e-06	1.646063e-03	1.644379e-03	2.056526e-06	-2.056526e-06	-2.606044e-04	-1.087167e-03
22            	3.276357e-03	0.000000e+00	-1.327953e-03	8.299707e-07	4.051806e-04	2.047723e-06	1.639009e-03	1.637349e-03	2.047723e-06	-2.047723e-06	-2.587960e-04	-1.069157e-03
23            	3.261948e-03	0.000000e+00	-1.300758e-03	8.129739e-07	3.954104e-04	2.038718e-06	1.631787e-03	1.630161e-03	2.038718e-06	-2.038718e-06	-2.549688e-04	-1.045790e-03
24            	3.247176e-03	0.000000e+00	-1.291221e-03	8.070128e-07	3.902119e-04	2.029485e-06	1.624395e-03	1.622781e-03	2.029485e-06	-2.029485e-06	-2.553983e-04	-1.035822e-03
25            	3.232906e-03	0.000000e+00	-1.273522e-03	7.959514e-07	3.828741e-04	2.020566e-06	1.617249e-03	1.615657e-03	2.020566e-06	-2.020566e-06	-2.538870e-04	-1.019635e-03
26            	3.219060e-03	0.000000e+00	-1.256642e-03	7.854011e-07	3.755897e-04	2.011913e-06	1.610316e-03	1.608745e-03	2.011913e-06	-2.011913e-06	-2.527312e-04	-1.003911e-03
27            	3.205575e-03	0.000000e+00	-1.241534e-03	7.759585e-07	3.693429e-04	2.003485e-06	1.603564e-03	1.602012e-03	2.003485e-06	-2.003485e-06	-2.514239e-04	-9.901097e-04
28            	3.192905e-03	0.000000e+00	-1.225939e-03	7.662119e-07	3.623389e-04	1.995565e-06	1.597219e-03	1.595686e-03	1.995565e-06	-1.995565e-06	-2.506306e-04	-9.753084e-04
29            	3.180190e-03	0.000000e+00	-1.211783e-03	7.573645e-07	3.553685e-04	1.987619e-06	1.590853e-03	1.589338e-03	1.987619e-06	-1.987619e-06	-2.505230e-04	-9.612601e-04
30            	3.168545e-03	0.000000e+00	-1.199173e-03	7.494830e-07	3.483680e-04	1.980340e-06	1.585022e-03	1.583523e-03	1.980340e-06	-1.980340e-06	-2.512184e-04	-9.479544e-04
31            	3.156630e-03	0.000000e+00	-1.194034e-03	7.462715e-07	3.449317e-04	1.972894e-06	1.579061e-03	1.577569e-03	1.972894e-06	-1.972894e-06	-2.520855e-04	-9.419489e-04
32            	3.145765e-03	0.000000e+00	-1.182662e-03	7.391636e-07	3.392504e-04	1.966103e-06	1.573622e-03	1.572143e-03	1.966103e-06	-1.966103e-06	-2.520805e-04	-9.305812e-04
33            	3.134681e-03	0.000000e+00	-1.181796e-03	7.386224e-07	3.366181e-04	1.959176e-06	1.568079e-03	1.566602e-03	1.959176e-06	-1.959176e-06	-2.542799e-04	-9.275160e-04
34            	3.124426e-03	0.000000e+00	-1.168093e-03	7.300583e-07	3.290210e-04	1.952766e-06	1.562943e-03	1.561483e-03	1.952766e-06	-1.952766e-06	-2.550256e-04	-9.130676e-04
35            	3.114047e-03	0.000000e+00	-1.173126e-03	7.332040e-07	3.284410e-04	1.946279e-06	1.557757e-03	1.556290e-03	1.946279e-06	-1.946279e-06	-2.581222e-04	-9.150041e-04
36            	3.104193e-03	0.000000e+00	-1.154527e-03	7.215794e-07	3.198947e-04	1.940121e-06	1.552818e-03	1.551375e-03	1.940121e-06	-1.940121e-06	-2.573688e-04	-8.971583e-04
37            	3.094569e-03	0.000000e+00	-1.164883e-03	7.280517e-07	3.209148e-04	1.934106e-06	1.548013e-03	1.546557e-03	1.934106e-06	-1.934106e-06	-2.615266e-04	-9.033561e-04
