# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	4.769520e-02	3	1.000000e+00	5.472360e-02	2	false	GAMG	1.000000e+00	8.163850e-02	12	true
2             	smoothSolver	1.875390e-02	1.612560e-03	7	4.469090e-01	4.330890e-02	11	false	GAMG	1.211160e-03	8.098250e-05	7	true
3             	smoothSolver	9.168440e-03	8.500000e-04	7	2.718760e-01	2.642180e-02	11	false	GAMG	1.106530e-03	9.233140e-05	5	true
4             	smoothSolver	5.570880e-03	5.547990e-04	7	1.908440e-01	1.860050e-02	11	false	GAMG	1.080490e-03	8.921590e-05	7	true
5             	smoothSolver	3.801250e-03	3.599680e-04	7	1.315640e-01	1.281090e-02	11	false	GAMG	1.182250e-03	8.737880e-05	5	true
6             	smoothSolver	2.843360e-03	2.698230e-04	7	1.010400e-01	9.746230e-03	11	false	GAMG	1.034970e-03	5.710950e-05	7	true
7             	smoothSolver	2.288240e-03	2.107040e-04	7	8.220120e-02	7.939900e-03	11	false	GAMG	9.909860e-04	9.460470e-05	5	true
8             	smoothSolver	1.937010e-03	1.771260e-04	7	6.967340e-02	6.670160e-03	11	false	GAMG	9.362510e-04	7.188930e-05	5	true
9             	smoothSolver	1.697210e-03	1.511630e-04	7	6.082120e-02	5.867990e-03	11	false	GAMG	8.939980e-04	8.397190e-05	5	true
10            	smoothSolver	1.565720e-03	1.325020e-04	7	5.371990e-02	5.158340e-03	11	false	GAMG	9.412570e-04	6.670160e-05	4	true
11            	smoothSolver	1.456420e-03	1.203730e-04	7	4.925790e-02	4.772920e-03	11	false	GAMG	8.938640e-04	5.384160e-05	5	true
12            	smoothSolver	1.353970e-03	1.350430e-04	6	4.480950e-02	4.343840e-03	11	false	GAMG	1.014780e-03	5.600650e-05	3	true
13            	smoothSolver	1.264940e-03	1.259640e-04	6	4.211960e-02	4.116580e-03	11	false	GAMG	8.992800e-04	5.821420e-05	3	true
14            	smoothSolver	1.187210e-03	9.572150e-05	7	3.980060e-02	3.919010e-03	11	false	GAMG	8.584010e-04	7.023300e-05	3	true
15            	smoothSolver	1.113360e-03	9.073070e-05	7	3.765880e-02	3.729790e-03	11	false	GAMG	8.062030e-04	7.083380e-05	3	true
16            	smoothSolver	1.050660e-03	8.676050e-05	7	3.573970e-02	3.556710e-03	11	false	GAMG	8.447390e-04	7.426690e-05	3	true
17            	smoothSolver	9.854240e-04	8.208700e-05	7	3.398550e-02	2.771870e-03	12	false	GAMG	7.439070e-04	7.033810e-05	3	true
18            	smoothSolver	9.347450e-04	7.930480e-05	7	3.244570e-02	2.661280e-03	12	false	GAMG	8.028220e-04	6.972680e-05	3	true
19            	smoothSolver	8.819020e-04	7.524140e-05	7	3.104720e-02	2.558180e-03	12	false	GAMG	7.628080e-04	7.349780e-05	3	true
20            	smoothSolver	8.457100e-04	7.325110e-05	7	2.974660e-02	2.464810e-03	12	false	GAMG	7.703500e-04	6.847590e-05	3	true
21            	smoothSolver	8.052790e-04	6.944260e-05	7	2.855610e-02	2.376080e-03	12	false	GAMG	7.563620e-04	7.104260e-05	3	true
22            	smoothSolver	7.752150e-04	6.792220e-05	7	2.742780e-02	2.292870e-03	12	false	GAMG	7.688430e-04	7.155980e-05	3	true
