# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.500000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	-2.744737e-03	-1.812777e-18	-1.709739e-01	8.548693e-04	9.312697e-02	-1.372368e-05	-5.174991e-04	-2.227238e-03	-1.372368e-05	1.372368e-05	7.640039e-03	-1.786139e-01
2             	-1.820187e-03	5.016319e-18	-2.454008e-01	1.227004e-03	9.873263e-02	-9.100934e-06	3.169106e-04	-2.137097e-03	-9.100934e-06	9.100934e-06	-2.396777e-02	-2.214330e-01
3             	3.269069e-02	5.051533e-18	-2.766463e-01	1.383231e-03	8.416992e-02	1.634535e-04	1.772858e-02	1.496211e-02	1.634535e-04	-1.634535e-04	-5.415321e-02	-2.224931e-01
4             	5.526754e-02	3.279309e-18	-3.534395e-01	1.767197e-03	1.115641e-01	2.763377e-04	2.940097e-02	2.586657e-02	2.763377e-04	-2.763377e-04	-6.515568e-02	-2.882838e-01
5             	5.596625e-02	2.006562e-18	-4.303902e-01	2.151951e-03	1.477018e-01	2.798312e-04	3.013507e-02	2.583117e-02	2.798312e-04	-2.798312e-04	-6.749326e-02	-3.628969e-01
6             	5.298636e-02	1.327369e-18	-4.973161e-01	2.486580e-03	1.787365e-01	2.649318e-04	2.897976e-02	2.400660e-02	2.649318e-04	-2.649318e-04	-6.992157e-02	-4.273945e-01
7             	4.653333e-02	1.009319e-18	-5.168269e-01	2.584135e-03	1.835591e-01	2.326666e-04	2.585080e-02	2.068253e-02	2.326666e-04	-2.326666e-04	-7.485437e-02	-4.419726e-01
8             	3.930590e-02	5.291170e-19	-4.768837e-01	2.384419e-03	1.543634e-01	1.965295e-04	2.203737e-02	1.726853e-02	1.965295e-04	-1.965295e-04	-8.407842e-02	-3.928053e-01
9             	3.285183e-02	1.508115e-19	-3.637297e-01	1.818648e-03	8.692701e-02	1.642592e-04	1.824457e-02	1.460727e-02	1.642592e-04	-1.642592e-04	-9.493783e-02	-2.687919e-01
10            	2.838137e-02	-4.203892e-19	-2.026256e-01	1.013128e-03	-2.731995e-03	1.419068e-04	1.520381e-02	1.317756e-02	1.419068e-04	-1.419068e-04	-1.040448e-01	-9.858082e-02
11            	2.538215e-02	-9.191694e-19	-6.343228e-02	3.171614e-04	-7.241976e-02	1.269108e-04	1.300824e-02	1.237391e-02	1.269108e-04	-1.269108e-04	-1.041359e-01	4.070363e-02
12            	2.315507e-02	-1.577018e-18	4.233199e-02	-2.116600e-04	-1.163143e-01	1.157753e-04	1.136587e-02	1.178919e-02	1.157753e-04	-1.157753e-04	-9.514827e-02	1.374803e-01
13            	2.098306e-02	-2.046504e-18	9.415128e-02	-4.707564e-04	-1.249216e-01	1.049153e-04	1.002077e-02	1.096228e-02	1.049153e-04	-1.049153e-04	-7.784596e-02	1.719972e-01
14            	1.904550e-02	-2.310045e-18	1.062557e-01	-5.312784e-04	-1.104682e-01	9.522749e-05	8.991470e-03	1.005403e-02	9.522749e-05	-9.522749e-05	-5.734036e-02	1.635960e-01
15            	1.752904e-02	-2.347933e-18	1.032252e-01	-5.161262e-04	-9.010630e-02	8.764519e-05	8.248393e-03	9.280645e-03	8.764519e-05	-8.764519e-05	-3.849368e-02	1.417189e-01
16            	1.698501e-02	-2.419237e-18	1.095813e-01	-5.479064e-04	-7.963598e-02	8.492505e-05	7.944599e-03	9.040411e-03	8.492505e-05	-8.492505e-05	-2.484534e-02	1.344266e-01
17            	1.689731e-02	-2.421306e-18	1.280998e-01	-6.404990e-04	-8.031569e-02	8.448656e-05	7.808157e-03	9.089155e-03	8.448656e-05	-8.448656e-05	-1.626579e-02	1.443656e-01
18            	1.707071e-02	-2.468361e-18	1.532028e-01	-7.660140e-04	-8.805473e-02	8.535356e-05	7.769342e-03	9.301370e-03	8.535356e-05	-8.535356e-05	-1.145333e-02	1.646561e-01
19            	1.685298e-02	-2.536264e-18	1.790736e-01	-8.953681e-04	-9.724418e-02	8.426492e-05	7.531124e-03	9.321860e-03	8.426492e-05	-8.426492e-05	-7.707363e-03	1.867810e-01
20            	1.664894e-02	-2.578082e-18	1.982415e-01	-9.912076e-04	-1.032252e-01	8.324471e-05	7.333263e-03	9.315679e-03	8.324471e-05	-8.324471e-05	-4.104414e-03	2.023459e-01
