# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(-8.577302e-03 -5.342933e-01 5.664929e-18)	(6.763066e-02 -5.372965e-01 -8.853505e-18)	(-7.620796e-02 3.003194e-03 1.451843e-17)
2             	(-5.688084e-03 -7.668775e-01 -1.567600e-17)	(1.049346e-01 -7.690702e-01 -1.547510e-17)	(-1.106226e-01 2.192659e-03 -2.008982e-19)
3             	(1.021584e-01 -8.645196e-01 -1.578604e-17)	(1.571191e-01 -8.695965e-01 -1.414419e-17)	(-5.496065e-02 5.076930e-03 -1.641856e-18)
4             	(1.727111e-01 -1.104498e+00 -1.024784e-17)	(1.839972e-01 -1.106275e+00 -9.461411e-18)	(-1.128617e-02 1.776893e-03 -7.864310e-19)
5             	(1.748945e-01 -1.344969e+00 -6.270505e-18)	(1.786032e-01 -1.345616e+00 -6.591263e-18)	(-3.708710e-03 6.470838e-04 3.207578e-19)
6             	(1.655824e-01 -1.554113e+00 -4.148028e-18)	(1.633544e-01 -1.554340e+00 -4.781787e-18)	(2.227983e-03 2.278090e-04 6.337595e-19)
7             	(1.454166e-01 -1.615084e+00 -3.154122e-18)	(1.408404e-01 -1.615179e+00 -3.457889e-18)	(4.576244e-03 9.435397e-05 3.037673e-19)
8             	(1.228309e-01 -1.490262e+00 -1.653490e-18)	(1.169228e-01 -1.490354e+00 -2.082142e-18)	(5.908155e-03 9.228209e-05 4.286515e-19)
9             	(1.026620e-01 -1.136655e+00 -4.712858e-19)	(9.578448e-02 -1.136667e+00 -3.588990e-19)	(6.877499e-03 1.173353e-05 -1.123868e-19)
10            	(8.869178e-02 -6.332051e-01 1.313716e-18)	(8.102174e-02 -6.333785e-01 1.926793e-18)	(7.670034e-03 1.734462e-04 -6.130770e-19)
11            	(7.931922e-02 -1.982259e-01 2.872404e-18)	(7.046040e-02 -1.985553e-01 4.068228e-18)	(8.858819e-03 3.294203e-04 -1.195824e-18)
12            	(7.235959e-02 1.322875e-01 4.928182e-18)	(6.229682e-02 1.317363e-01 5.832717e-18)	(1.006277e-02 5.511646e-04 -9.045352e-19)
13            	(6.557205e-02 2.942228e-01 6.395324e-18)	(5.413701e-02 2.935794e-01 6.796315e-18)	(1.143504e-02 6.433042e-04 -4.009909e-19)
14            	(5.951718e-02 3.320490e-01 7.218890e-18)	(4.617898e-02 3.313958e-01 7.235529e-18)	(1.333820e-02 6.531851e-04 -1.663953e-20)
