# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(2.671467e-03 -4.288651e-05 -2.910218e-01)	(2.686483e-03 3.381533e-04 -2.942128e-01)	(-1.501597e-05 -3.810398e-04 3.190997e-03)
2             	(3.834387e-03 -2.844042e-05 -3.085395e-01)	(3.845351e-03 5.246728e-04 -3.115821e-01)	(-1.096329e-05 -5.531132e-04 3.042634e-03)
3             	(4.322598e-03 5.107920e-04 -2.630310e-01)	(4.347983e-03 7.855953e-04 -2.681093e-01)	(-2.538465e-05 -2.748033e-04 5.078315e-03)
4             	(5.522492e-03 8.635553e-04 -3.486377e-01)	(5.531376e-03 9.199861e-04 -3.503606e-01)	(-8.884466e-06 -5.643083e-05 1.722915e-03)
5             	(6.724846e-03 8.744726e-04 -4.615682e-01)	(6.728082e-03 8.930162e-04 -4.623783e-01)	(-3.235419e-06 -1.854355e-05 8.101517e-04)
6             	(7.770563e-03 8.279118e-04 -5.585515e-01)	(7.771702e-03 8.167719e-04 -5.588975e-01)	(-1.139045e-06 1.113991e-05 3.460798e-04)
7             	(8.075421e-03 7.270832e-04 -5.736222e-01)	(8.075893e-03 7.042020e-04 -5.737420e-01)	(-4.717698e-07 2.288122e-05 1.198017e-04)
8             	(7.451308e-03 6.141547e-04 -4.823857e-01)	(7.451770e-03 5.846139e-04 -4.823618e-01)	(-4.614105e-07 2.954077e-05 -2.394206e-05)
9             	(5.683276e-03 5.133099e-04 -2.716469e-01)	(5.683335e-03 4.789224e-04 -2.714905e-01)	(-5.866767e-08 3.438749e-05 -1.564460e-04)
10            	(3.166025e-03 4.434589e-04 8.537483e-03)	(3.166893e-03 4.051087e-04 8.687763e-03)	(-8.672308e-07 3.835017e-05 -1.502800e-04)
11            	(9.911293e-04 3.965961e-04 2.263118e-01)	(9.927764e-04 3.523020e-04 2.265119e-01)	(-1.647101e-06 4.429409e-05 -2.001008e-04)
12            	(-6.614374e-04 3.617979e-04 3.634821e-01)	(-6.586816e-04 3.114841e-04 3.636771e-01)	(-2.755823e-06 5.031383e-05 -1.950212e-04)
13            	(-1.471114e-03 3.278603e-04 3.903800e-01)	(-1.467897e-03 2.706850e-04 3.905913e-01)	(-3.216521e-06 5.717521e-05 -2.113539e-04)
14            	(-1.660245e-03 2.975859e-04 3.452131e-01)	(-1.656979e-03 2.308949e-04 3.454555e-01)	(-3.265925e-06 6.669100e-05 -2.423783e-04)
15            	(-1.612894e-03 2.738912e-04 2.815822e-01)	(-1.610034e-03 1.980259e-04 2.818487e-01)	(-2.860067e-06 7.586534e-05 -2.664859e-04)
16            	(-1.712207e-03 2.653908e-04 2.488624e-01)	(-1.709880e-03 1.779421e-04 2.491563e-01)	(-2.326978e-06 8.744869e-05 -2.938188e-04)
17            	(-2.001559e-03 2.640205e-04 2.509865e-01)	(-1.999687e-03 1.666510e-04 2.512970e-01)	(-1.871963e-06 9.736945e-05 -3.104238e-04)
18            	(-2.393794e-03 2.667299e-04 2.751710e-01)	(-2.392224e-03 1.593405e-04 2.754984e-01)	(-1.570032e-06 1.073893e-04 -3.273321e-04)
19            	(-2.798025e-03 2.633279e-04 3.038881e-01)	(-2.796735e-03 1.515244e-04 3.042229e-01)	(-1.290532e-06 1.118034e-04 -3.348866e-04)
20            	(-3.097524e-03 2.601397e-04 3.225787e-01)	(-3.096156e-03 1.431982e-04 3.228953e-01)	(-1.367248e-06 1.169415e-04 -3.166652e-04)
21            	(-3.236333e-03 2.526600e-04 3.241357e-01)	(-3.235030e-03 1.339250e-04 3.244815e-01)	(-1.302354e-06 1.187351e-04 -3.457782e-04)
22            	(-3.243201e-03 2.466336e-04 3.118688e-01)	(-3.241921e-03 1.238389e-04 3.122357e-01)	(-1.279594e-06 1.227947e-04 -3.669010e-04)
23            	(-3.178072e-03 2.365588e-04 2.934631e-01)	(-3.176897e-03 1.125515e-04 2.938721e-01)	(-1.175281e-06 1.240073e-04 -4.089382e-04)
24            	(-3.087025e-03 2.269246e-04 2.750086e-01)	(-3.085746e-03 1.008166e-04 2.754171e-01)	(-1.278869e-06 1.261081e-04 -4.085288e-04)
25            	(-3.007060e-03 2.164272e-04 2.610972e-01)	(-3.005659e-03 8.957869e-05 2.615128e-01)	(-1.401071e-06 1.268485e-04 -4.155806e-04)
26            	(-2.943000e-03 2.077198e-04 2.516435e-01)	(-2.941424e-03 7.923384e-05 2.520515e-01)	(-1.575945e-06 1.284860e-04 -4.079602e-04)
27            	(-2.887838e-03 1.989257e-04 2.451361e-01)	(-2.886178e-03 6.990601e-05 2.455552e-01)	(-1.660534e-06 1.290197e-04 -4.190529e-04)
28            	(-2.827097e-03 1.917102e-04 2.393066e-01)	(-2.825413e-03 6.173990e-05 2.397365e-01)	(-1.683433e-06 1.299703e-04 -4.299556e-04)
29            	(-2.756424e-03 1.850875e-04 2.332681e-01)	(-2.754771e-03 5.492005e-05 2.337193e-01)	(-1.652809e-06 1.301675e-04 -4.512266e-04)
30            	(-2.679536e-03 1.803872e-04 2.273131e-01)	(-2.677891e-03 4.963839e-05 2.277774e-01)	(-1.645126e-06 1.307488e-04 -4.643383e-04)
31            	(-2.603339e-03 1.768047e-04 2.221697e-01)	(-2.601700e-03 4.595998e-05 2.226470e-01)	(-1.639012e-06 1.308447e-04 -4.773226e-04)
32            	(-2.534151e-03 1.749889e-04 2.184628e-01)	(-2.532495e-03 4.386897e-05 2.189457e-01)	(-1.656172e-06 1.311200e-04 -4.828835e-04)
33            	(-2.475145e-03 1.743592e-04 2.163610e-01)	(-2.473482e-03 4.326267e-05 2.168504e-01)	(-1.663756e-06 1.310965e-04 -4.894449e-04)
34            	(-2.427685e-03 1.751034e-04 2.157678e-01)	(-2.426011e-03 4.393656e-05 2.162609e-01)	(-1.673949e-06 1.311669e-04 -4.930971e-04)
35            	(-2.391163e-03 1.767417e-04 2.163893e-01)	(-2.389493e-03 4.567246e-05 2.168882e-01)	(-1.670720e-06 1.310692e-04 -4.989384e-04)
36            	(-2.365383e-03 1.793869e-04 2.180226e-01)	(-2.363716e-03 4.827689e-05 2.185265e-01)	(-1.666802e-06 1.311101e-04 -5.038823e-04)
37            	(-2.350499e-03 1.826074e-04 2.205421e-01)	(-2.348839e-03 5.153881e-05 2.210513e-01)	(-1.659576e-06 1.310686e-04 -5.091820e-04)
38            	(-2.346652e-03 1.863376e-04 2.238654e-01)	(-2.344993e-03 5.524080e-05 2.243778e-01)	(-1.659592e-06 1.310968e-04 -5.123744e-04)
39            	(-2.353515e-03 1.902755e-04 2.278915e-01)	(-2.351855e-03 5.919295e-05 2.284067e-01)	(-1.660719e-06 1.310826e-04 -5.152304e-04)
40            	(-2.370182e-03 1.943654e-04 2.324784e-01)	(-2.368517e-03 6.323457e-05 2.329954e-01)	(-1.665097e-06 1.311309e-04 -5.170304e-04)
41            	(-2.395365e-03 1.983706e-04 2.374589e-01)	(-2.393696e-03 6.722391e-05 2.379774e-01)	(-1.669734e-06 1.311467e-04 -5.185823e-04)
42            	(-2.427484e-03 2.022450e-04 2.426544e-01)	(-2.425808e-03 7.103764e-05 2.431740e-01)	(-1.675712e-06 1.312074e-04 -5.196502e-04)
43            	(-2.464750e-03 2.058479e-04 2.478860e-01)	(-2.463068e-03 7.458382e-05 2.484067e-01)	(-1.682078e-06 1.312641e-04 -5.207059e-04)
