# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	8.015900e-02	4	1.000000e+00	7.528280e-02	3	false	GAMG	1.000000e+00	6.201660e-02	6	true
2             	smoothSolver	5.402590e-02	3.368950e-03	2	4.735610e-01	3.952510e-02	1	false	GAMG	1.670800e-01	1.375300e-02	5	true
3             	smoothSolver	6.132130e-02	3.776380e-03	2	4.444430e-01	2.376990e-02	1	false	GAMG	1.723070e-01	1.326130e-02	4	true
4             	smoothSolver	4.577450e-02	3.512490e-03	2	3.609570e-01	1.569730e-02	1	false	GAMG	1.374570e-01	1.030560e-02	4	true
5             	smoothSolver	3.823030e-02	3.482080e-03	2	2.617100e-01	1.458140e-02	1	false	GAMG	1.137740e-01	8.036210e-03	3	true
6             	smoothSolver	3.198390e-02	1.955010e-03	3	1.928960e-01	1.461090e-02	1	false	GAMG	1.076230e-01	7.346680e-03	3	true
7             	smoothSolver	3.108560e-02	1.842110e-03	3	1.529540e-01	1.380680e-02	1	false	GAMG	1.109150e-01	7.497940e-03	3	true
8             	smoothSolver	3.328250e-02	3.117450e-03	2	1.316850e-01	4.461310e-03	2	false	GAMG	1.253610e-01	9.333110e-03	3	true
9             	smoothSolver	3.614520e-02	3.087020e-03	2	1.312720e-01	1.169030e-02	1	false	GAMG	1.402550e-01	1.288640e-02	3	true
10            	smoothSolver	4.029560e-02	3.079600e-03	2	1.586130e-01	1.390910e-02	1	false	GAMG	1.034890e-01	5.749740e-03	4	true
11            	smoothSolver	4.523290e-02	3.184800e-03	2	1.835400e-01	1.757820e-02	1	false	GAMG	8.196870e-02	5.652990e-03	4	true
12            	smoothSolver	4.945060e-02	3.746030e-03	2	2.002080e-01	1.080440e-02	2	false	GAMG	9.086030e-02	5.445890e-03	4	true
13            	smoothSolver	5.423530e-02	4.364890e-03	2	2.299240e-01	1.302190e-02	2	false	GAMG	8.824340e-02	5.992390e-03	4	true
14            	smoothSolver	5.484800e-02	5.277760e-03	2	2.690160e-01	1.477170e-02	2	false	GAMG	8.772320e-02	5.896450e-03	4	true
15            	smoothSolver	5.372800e-02	2.892660e-03	3	3.078470e-01	1.641550e-02	2	false	GAMG	8.464520e-02	5.738580e-03	4	true
16            	smoothSolver	5.172800e-02	2.714860e-03	3	3.077280e-01	1.793480e-02	2	false	GAMG	7.638030e-02	4.339780e-03	4	true
17            	smoothSolver	4.818410e-02	2.533580e-03	3	2.849790e-01	1.978130e-02	2	false	GAMG	7.807250e-02	4.189810e-03	4	true
18            	smoothSolver	4.670050e-02	4.519270e-03	2	2.659010e-01	1.983820e-02	2	false	GAMG	8.284350e-02	8.021980e-03	3	true
